"Role","Question","Answer","Difficulty","Company"
"Backend Engineer","What is a JWT (JSON Web Token)?","A JWT is a compact, URL-safe means of representing claims to be transferred between two parties. It consists of three parts: a header, a payload, and a signature. The signature ensures the token's authenticity and integrity, verifying that it was created by a trusted source and hasn't been tampered with. JWTs are commonly used for authentication and authorization in web applications.","Medium","Uber"
"Backend Engineer","How would you choose between a monolithic and a microservices architecture for a new project?","The choice depends on the project's complexity, team size, and scalability requirements. A monolith is simpler to develop, test, and deploy initially, making it suitable for smaller projects or MVPs. Microservices are better for large, complex applications that require high scalability and are being developed by multiple teams, but they come with significant operational overhead.","Hard","Airbnb"
"Backend Engineer","What is consistent hashing?","Consistent hashing is a hashing technique that works well in distributed systems where the number of servers (or cache nodes) can change. Unlike a standard hash table, adding or removing a node in a consistent hashing scheme only requires remapping a small fraction of the keys, minimizing disruption. This makes it ideal for use in distributed caches and load balancers.","Hard","Netflix"
"Backend Engineer","What is the difference between TCP and UDP?","TCP (Transmission Control Protocol) is a connection-oriented protocol that guarantees reliable, ordered delivery of data packets. It performs handshakes to establish a connection and includes mechanisms for error checking and retransmission. UDP (User Datagram Protocol) is a connectionless, lightweight protocol that offers no guarantees of delivery, ordering, or error checking, but provides much lower latency, making it suitable for applications like video streaming or online gaming.","Easy","Spotify"
"Backend Engineer","How do you secure sensitive data like passwords in a database?","Passwords should never be stored in plaintext. They must be hashed using a strong, one-way, and slow hashing algorithm like Argon2, scrypt, or bcrypt. A unique 'salt' (a random string) should be generated for each user and combined with their password before hashing to protect against rainbow table attacks.","Medium","Meta"
"Backend Engineer","What is a circuit breaker pattern?","The circuit breaker pattern is a design pattern used in modern software development to detect failures and prevent a failure from constantly recurring. It wraps a protected function call in a circuit breaker object, which monitors for failures. Once the failures reach a certain threshold, the circuit breaker 'trips', and all further calls to the circuit breaker return with an error immediately, without the protected function call being made at all. This prevents a failing service from being overwhelmed with requests.","Hard","Netflix"
"Backend Engineer","Explain how you might implement a distributed caching system.","A distributed cache is spread across multiple servers, often using a consistent hashing algorithm to map keys to specific cache nodes. Popular implementations like Redis Cluster or Memcached handle the distribution of data. The application clients interact with the cache through a client library that understands the hashing scheme and can route requests to the correct node.","Hard","Amazon"
"Backend Engineer","What is the difference between latency and throughput?","Latency is the time it takes for a single data packet to travel from one point to another; it's a measure of delay. Throughput is the amount of data that can be transferred over a given period; it's a measure of capacity. You can have high throughput but also high latency, for example, a large truck carrying many hard drives across the country.","Easy","Google"
"Backend Engineer","When would you use a relational database vs. a document database?","Use a relational database (like PostgreSQL or MySQL) when your data is structured, has clear relationships, and you require strong consistency and ACID compliance, such as for financial or e-commerce applications. Use a document database (like MongoDB) when you have semi-structured or unstructured data, need a flexible schema, and want to scale horizontally easily, such as for content management systems or user profiles.","Medium","Shopify"

"Backend Engineer","Explain what gRPC is and why you might use it over REST.","gRPC is a high-performance, open-source universal RPC framework developed by Google. It uses Protocol Buffers (Protobufs) as its interface definition language and HTTP/2 for transport, which enables features like bidirectional streaming and multiplexing. You might choose gRPC over REST for internal microservice communication where performance is critical and a strongly-typed contract is beneficial, as it's generally faster and more efficient due to its binary serialization format.","Hard","Google"
"Backend Engineer","What is a sidecar pattern in the context of microservices?","The sidecar pattern involves deploying a helper container alongside the main application container in a pod or container group. This sidecar container handles cross-cutting concerns like logging, monitoring, configuration, or network communication (e.g., a service mesh proxy like Envoy). This decouples common features from the application logic, allowing them to be managed and updated independently.","Hard","Uber"
"Backend Engineer","How would you design a system to count the number of views on a popular video?","A simple `UPDATE views = views + 1` query would create a database hotspot and lock contention. A better approach is to use an in-memory counter (like Redis INCR) to handle the high write volume. These counts can then be periodically flushed to a persistent database in batches for long-term storage, trading real-time accuracy for scalability and performance.","Medium","Netflix"
"Backend Engineer","What is a memory leak and how would you debug one in a long-running service?","A memory leak is a type of resource leak that occurs when a computer program incorrectly manages memory allocations in a way that memory which is no longer needed is not released. To debug it, you would use profiling tools (like `pprof` in Go or VisualVM for Java) to take memory snapshots over time. By comparing snapshots, you can identify objects that are accumulating in memory but should have been garbage collected.","Hard","Microsoft"

"Backend Engineer","What is the difference between `DELETE`, `TRUNCATE`, and `DROP` in SQL?","`DROP` removes the entire table, including its structure, permissions, and indexes; it cannot be rolled back. `TRUNCATE` removes all rows from a table but keeps the table structure; it's faster than DELETE and usually cannot be rolled back. `DELETE` removes rows one by one based on a `WHERE` clause (or all rows if no clause is provided) and can be rolled back because it logs each deletion.","Easy","Stripe"
"Backend Engineer","What are the main components of a CI/CD pipeline?","A typical CI/CD pipeline consists of several stages. 'Build' compiles the code. 'Test' runs automated tests (unit, integration). 'Release' packages the application into an artifact (like a Docker image). 'Deploy' pushes the artifact to an environment (like staging or production). 'Validate' performs post-deployment checks to ensure the application is working correctly.","Medium","Shopify"
"Backend Engineer","Explain the concept of 'blue-green deployment'.","Blue-green deployment is a release strategy that reduces downtime and risk by running two identical production environments called Blue and Green. At any time, only one of the environments is live, serving all production traffic (e.g., Blue). To release a new version, you deploy it to the idle environment (Green), test it thoroughly, and then switch the router to direct all traffic from Blue to Green. This allows for instant rollback if an issue is found.","Medium","Netflix"
"Backend Engineer","What is a race condition? Give an example.","A race condition occurs when the behavior of a system depends on the sequence or timing of uncontrollable events, such as the scheduling of threads. A classic example is two threads trying to increment a shared counter without proper locking: Thread A reads the value (e.g., 5), Thread B reads the value (also 5), Thread A increments it and writes back 6, then Thread B increments its local copy and also writes back 6. The correct result should have been 7.","Medium","Meta"
"Backend Engineer","Why is it generally a bad idea to store file blobs directly in a relational database?","Storing large binary objects (blobs) like images or videos directly in a relational database can severely bloat the database size, making backups and restores slow and expensive. It also increases memory usage and can degrade query performance. It's generally better to store the files in a dedicated object storage service like Amazon S3 or Google Cloud Storage and store only the reference (URL or key) to the file in the database.","Medium","Airbnb"
"Backend Engineer","What is polymorphism in object-oriented programming?","Polymorphism, meaning 'many forms', is a principle that allows objects of different classes to be treated as objects of a common superclass. It enables you to define one interface and have multiple implementations. For example, you could have a `Shape` class with a `draw()` method, and subclasses like `Circle` and `Square` can each implement `draw()` in their own way.","Easy","Microsoft"
"Backend Engineer","How would you secure a service-to-service communication channel within a private network?","Even within a private network, service-to-service communication should be secured. This can be achieved using mutual TLS (mTLS), where both the client and server present and validate certificates to authenticate each other. A service mesh like Istio or Linkerd can automate the provisioning and rotation of these certificates and enforce mTLS policies across the cluster.","Hard","Uber"
"Backend Engineer","What is the purpose of a `finally` block in a `try-catch` statement?","The `finally` block is used to execute code regardless of whether an exception was thrown or caught in the `try-catch` block. This makes it the ideal place to put cleanup code, such as closing file handles, releasing network sockets, or closing database connections, ensuring that these critical resources are always properly released.","Easy","Spotify"
"Backend Engineer","Explain what an ORM (Object-Relational Mapping) is.","An ORM is a programming technique for converting data between incompatible type systems using object-oriented programming languages. It acts as a layer between the application and the database, allowing developers to interact with database records as if they were regular objects in their programming language, abstracting away the need to write raw SQL queries. Examples include Hibernate for Java, SQLAlchemy for Python, and TypeORM for TypeScript.","Easy","Shopify"
"Backend Engineer","What's the difference between `PUT` and `PATCH` HTTP methods?","Both `PUT` and `PATCH` are used to update a resource. The key difference is that `PUT` is used for a full replacement of the resource; the client sends the complete representation of the updated resource. `PATCH` is used for a partial update; the client sends only the changes that need to be made to the resource, which can be more efficient.","Medium","Stripe"
"Backend Engineer","How can you handle failures in a distributed system?","Handling failures involves strategies like redundancy (having multiple copies of services and data), timeouts and retries (with exponential backoff) for transient network issues, using circuit breakers to prevent cascading failures, and designing for graceful degradation where non-critical features are disabled during partial outages. Asynchronous communication with message queues also helps build resilience by decoupling components.","Hard","Amazon"
"Backend Engineer","What is Cross-Origin Resource Sharing (CORS)?","CORS is a browser security feature that restricts cross-origin HTTP requests initiated from scripts. It uses additional HTTP headers to tell a browser to let a web application running at one origin (domain) have permission to access selected resources from a server at a different origin. A server must explicitly allow these requests by including headers like `Access-Control-Allow-Origin`.","Medium","Meta"
"Backend Engineer","What's the difference between `INNER JOIN` and `LEFT JOIN`?","An `INNER JOIN` returns only the rows where the join condition is met in both tables, effectively finding the intersection of the two tables. A `LEFT JOIN` (or `LEFT OUTER JOIN`) returns all rows from the left table, along with the matched rows from theright table. If there is no match in the right table for a row in the left table, the result is `NULL` on the right side.","Easy","Microsoft"
"Backend Engineer","What is Serverless computing?","Serverless computing is a cloud execution model where the cloud provider dynamically manages the allocation and provisioning of servers. You write application code in the form of functions (like AWS Lambda or Google Cloud Functions) and the provider runs them in response to events, automatically scaling them as needed. This abstracts away the infrastructure management, allowing developers to focus solely on their code.","Medium","Amazon"
"Backend Engineer","What is the primary key and foreign key in a database?","A primary key is a column (or set of columns) in a table that uniquely identifies each row in that table; it cannot contain NULL values. A foreign key is a column (or set of columns) in one table that refers to the primary key in another table. It's used to establish and enforce a link between the data in two tables.","Easy","Airbnb"
"Backend Engineer","What is Base64 encoding and when is it used?","Base64 is an encoding scheme that converts binary data into a text-based format so that it can be transmitted over channels that only support text. It represents binary data using only 64 printable ASCII characters. A common use case is embedding image data directly in a CSS file or transmitting binary data within a JSON payload.","Easy","Spotify"
"Backend Engineer","Explain what 'data replication' is in a database context.","Data replication is the process of creating and maintaining multiple copies of data on different database servers. This is done to improve data availability and fault tolerance (if one server fails, another can take over) and to improve read performance by distributing read queries across multiple replicas. Replication can be synchronous or asynchronous.","Medium","Netflix"
"Backend Engineer","What is a 'hash collision'?","A hash collision occurs when a hash function generates the same hash value for two different inputs. Since hash functions map a large input space to a smaller, fixed-size output space, collisions are inevitable. In data structures like hash tables, collisions are typically handled by techniques like 'chaining' (storing colliding items in a linked list at the same hash index) or 'open addressing' (probing for the next available slot).","Easy","Google"
"Backend Engineer","From a first-principles perspective, why do we need API gateways?","Fundamentally, as you decompose a system into more granular microservices, you create a complex network of endpoints. An API gateway acts as a single, unified entry point for all clients, simplifying the client-side interaction. It addresses cross-cutting concerns that would otherwise need to be implemented in every single microservice, such as authentication, rate limiting, logging, and routing, thus centralizing and standardizing these essential functions.","Hard","Uber"
"Backend Engineer","What is Conway's Law?","Conway's Law is an adage stating that organizations design systems that mirror their own communication structure. For example, if a company is split into a 'frontend team', 'backend team', and 'database team', the resulting system will likely have a monolithic frontend, a monolithic backend, and a single database. This is a crucial concept in system design, suggesting that to achieve a certain architecture (like microservices), you may need to first change the structure of your teams.","Hard","Spotify"
"Frontend Engineer","What is the difference between `let`, `const`, and `var` in JavaScript?","`var` is function-scoped and hoisted, meaning it's treated as if it were declared at the top of its containing function, which can lead to unexpected behavior. `let` and `const` are block-scoped (scoped to the nearest curly braces) and are not hoisted in the same way, leading to more predictable code. `const` is like `let` but the variable's value cannot be reassigned after initialization.","Easy","Meta"
"Frontend Engineer","Explain the CSS box model from first principles.","The CSS box model is a fundamental concept that describes how every HTML element is rendered as a rectangular box. This box is composed of four parts, layered from the inside out: the content itself (text, image), padding (the transparent space around the content), the border (a line around the padding), and the margin (the transparent space around the border that separates it from other elements). The total width and height of an element is the sum of its content, padding, and border sizes.","Easy","Shopify"
"Frontend Engineer","What is the browser's event loop and how does it work?","The event loop is a mechanism that allows JavaScript, which is single-threaded, to handle asynchronous operations without getting blocked. It continuously checks two queues: the task queue (for events like clicks, setTimeout) and the microtask queue (for promises, MutationObserver). When the main call stack is empty, the event loop processes all tasks in the microtask queue first, and then processes one task from the task queue, repeating this cycle.","Hard","Google"
"Frontend Engineer","What is the Virtual DOM and why is it faster than direct DOM manipulation?","The Virtual DOM (VDOM) is a programming concept where a virtual representation of a UI is kept in memory and synced with the 'real' DOM. When a component's state changes, a new VDOM tree is created. This new tree is then compared ('diffed') with the previous VDOM tree to identify the specific changes. Finally, only these minimal changes are batched together and applied to the real DOM, which is much more efficient than re-rendering large parts of the actual DOM, as DOM manipulation is a slow operation.","Medium","Netflix"
"Frontend Engineer","Differentiate between `null` and `undefined` in JavaScript.","`undefined` is a primitive value that typically means a variable has been declared but has not yet been assigned a value. `null` is also a primitive value, but it represents the intentional absence of any object value. It must be explicitly assigned by a developer to indicate that a variable has no value.","Easy","Amazon"
"Frontend Engineer","What are React Hooks?","Hooks are functions that let you 'hook into' React state and lifecycle features from function components. They allow youto use state and other React features without writing a class. The most common hooks are `useState` for adding state to a component and `useEffect` for performing side effects (like data fetching or subscriptions) after a component renders.","Easy","Airbnb"
"Frontend Engineer","Explain what 'prop drilling' is in React and how to avoid it.","Prop drilling is the process of passing down props from a parent component to a child component deep in the tree, through intermediate components that don't actually need the props themselves. This can make components less reusable and harder to maintain. It can be avoided by using state management libraries like Redux or Zustand, or by using React's built-in Context API to provide data to any component in the tree without passing it down manually.","Medium","Uber"
"Frontend Engineer","What is CSS specificity?","CSS Specificity is the set of rules browsers use to determine which CSS style declaration is the most specific and therefore should be applied to an element. The specificity is calculated based on the selectors used: inline styles have the highest specificity, followed by IDs, then classes/attributes/pseudo-classes, and finally element types/pseudo-elements. When two selectors have equal specificity, the one that appears last in the CSS wins.","Medium","Stripe"
"Frontend Engineer","What is a closure in JavaScript?","A closure is the combination of a function and the lexical environment within which that function was declared. This means a function has access to variables from its outer (enclosing) scope, even after the outer function has finished executing. Closures are fundamental to many patterns in JavaScript, including data privacy and callbacks.","Hard","Microsoft"
"Frontend Engineer","What's the difference between `==` and `===` in JavaScript?","The `==` operator performs a loose equality comparison, which means it will attempt to convert the operands to the same type before making the comparison (type coercion). The `===` operator performs a strict equality comparison, which means it will return `false` if the operands are of different types, without attempting any type conversion. It's generally recommended to use `===` to avoid unexpected behavior from type coercion.","Easy","Spotify"
"Frontend Engineer","Explain the purpose of the `useEffect` hook in React.","The `useEffect` hook lets you perform side effects in function components. Side effects are operations that can affect other components and can't be done during rendering, such as fetching data from an API, setting up a subscription, or manually changing the DOM. `useEffect` runs after every render by default, but you can control when it runs by passing a dependency array.","Medium","Netflix"
"Frontend Engineer","What is responsive web design?","Responsive web design is an approach to web design that makes web pages render well on a variety of devices and window or screen sizes. It typically involves using flexible grids and layouts (like Flexbox or CSS Grid), images that scale, and CSS media queries to apply different styles based on the characteristics of the user's device, such as its width.","Easy","Shopify"
"Frontend Engineer","What are Promises in JavaScript?","A Promise is an object representing the eventual completion (or failure) of an asynchronous operation and its resulting value. It allows you to write asynchronous code that is easier to read and manage than traditional callback-based approaches, avoiding 'callback hell'. A Promise can be in one of three states: pending, fulfilled (resolved), or rejected.","Medium","Google"
"Frontend Engineer","What is the difference between Shadow DOM and Virtual DOM?","Virtual DOM is a JavaScript concept used by libraries like React to improve performance by minimizing direct DOM manipulation. Shadow DOM is a browser technology designed for encapsulation; it allows you to isolate a part of the DOM tree (including its styles and scripts) from the main document's DOM, preventing style conflicts. They are different concepts that solve different problems.","Hard","Meta"
"Frontend Engineer","How do you optimize a website's performance?","Key strategies include: minimizing HTTP requests by bundling CSS and JS files, compressing assets (images, scripts), using a CDN to serve content closer to users, lazy loading images and components that are not in the initial viewport, and optimizing the critical rendering path to display initial content as fast as possible. Code-splitting with tools like Webpack can also reduce the initial JavaScript payload.","Hard","Amazon"
"Frontend Engineer","What is `this` keyword in JavaScript?","The value of the `this` keyword depends on the context in which it is used. In the global scope, it refers to the global object (`window` in a browser). Inside a method of an object, it refers to the object itself. In an event handler, it can refer to the element that received the event. In arrow functions, `this` is lexically scoped, meaning it inherits the `this` value from its surrounding code.","Medium","Microsoft"
"Frontend Engineer","What is the role of a package manager like npm or yarn?","A package manager automates the process of installing, updating, configuring, and removing software packages (dependencies) for a project. It maintains a list of project dependencies in a manifest file (like `package.json`) and ensures that the correct versions of these packages are installed. This makes it easy to share projects and manage complex dependency trees.","Easy","Stripe"
"Frontend Engineer","Explain CSS Flexbox.","Flexbox is a one-dimensional layout model in CSS that offers an efficient way to lay out, align, and distribute space among items in a container, even when their size is unknown or dynamic. It allows items to 'flex' their sizes to fill available space or shrink to prevent overflow. Key properties include `display: flex`, `flex-direction`, `justify-content`, and `align-items`.","Medium","Airbnb"
"Frontend Engineer","What is the difference between `localStorage` and `sessionStorage`?","Both `localStorage` and `sessionStorage` are browser APIs for storing key-value pairs. The key difference is persistence: data in `localStorage` persists even after the browser is closed and reopened, and is shared across all tabs and windows from the same origin. Data in `sessionStorage` is only available for the duration of the page session; it is cleared when the tab or window is closed.","Easy","Uber"

"Frontend Engineer","What is tree shaking?","Tree shaking is a term commonly used in the context of JavaScript bundlers like Webpack or Rollup. It's a dead code elimination process where unused exports are removed from the final bundle file. This helps to significantly reduce the size of the application, leading to faster load times.","Medium","Shopify"
"Frontend Engineer","Describe the `async` and `await` keywords in JavaScript.","`async` and `await` are syntactic sugar built on top of Promises, making asynchronous code look and behave more like synchronous code, which makes it easier to read and write. An `async` function always returns a Promise. The `await` keyword can only be used inside an `async` function and it pauses the execution of the function until the awaited Promise is resolved or rejected.","Medium","Google"
"Frontend Engineer","What is the Same-Origin Policy?","The Same-Origin Policy is a critical security mechanism in web browsers that restricts how a document or script loaded from one origin can interact with a resource from another origin. An origin is defined by the combination of protocol, hostname, and port number. This policy prevents malicious scripts on one page from obtaining sensitive data from another web page through DOM manipulation.","Medium","Meta"
